Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Iran,IRN,2009,0.00542675,,0.0008378139,0.63171136,18.775402,0,1347.9441,9.255012,1002.67725
Iran,IRN,2008,0,,0.00056201115,0.55020946,20.901213,0,1257.8671,14.342342,1029.7059
Iran,IRN,2006,0,,0.00028454166,0.35652915,52.665596,0,1057.84,17.473772,991.9344
Iran,IRN,2007,0,,0.00028276112,0.39841193,50.781242,0,1185.5222,18.215395,999.07385
Iran,IRN,2005,0,,0,0.2030161,41.370598,0,970.46906,18.102768,910.1544
Iran,IRN,2004,0,,0,0.13342054,34.386753,0,932.5601,15.971223,848.9064
Iran,IRN,2000,0,,0,0.10793,11.180376,0,594.40875,15.1596575,775.7112
Iran,IRN,1999,0,,0,0.10349472,15.207796,0,549.7264,14.264881,752.2657
Iran,IRN,2001,0,,0,0.09900333,12.109562,0,665.327,14.8619995,799.74396
Iran,IRN,2002,0,,0,0.08844056,23.385702,0,782.20325,14.081556,806.6087
Iran,IRN,2003,0,,0,0.08004333,27.80639,0,802.7674,15.257164,810.28345
Iran,IRN,1993,0,,0,0,31.145967,0,165.13165,12.766506,691.70404
